step,t_ms,side,kind,peak_dp_pa,source
0,1260.0,affected,normal,5689.6,SYNTHETIC_MOCK
1,2355.9,unaffected,normal,4541.7,SYNTHETIC_MOCK
2,3554.5,affected,normal,6601.5,SYNTHETIC_MOCK
3,4816.7,unaffected,normal,8108.0,SYNTHETIC_MOCK
4,6054.1,affected,normal,8420.3,SYNTHETIC_MOCK
5,7177.4,unaffected,normal,7464.6,SYNTHETIC_MOCK
6,8362.6,affected,normal,6937.1,SYNTHETIC_MOCK
7,9550.3,unaffected,normal,8540.4,SYNTHETIC_MOCK
8,10792.9,affected,normal,6556.3,SYNTHETIC_MOCK
9,12027.3,unaffected,panic_plant,12246.7,SYNTHETIC_MOCK
10,13186.4,affected,normal,6487.9,SYNTHETIC_MOCK
11,14476.7,unaffected,normal,7776.1,SYNTHETIC_MOCK
12,15610.7,affected,normal,5941.4,SYNTHETIC_MOCK
13,16854.2,unaffected,normal,7936.5,SYNTHETIC_MOCK
14,18063.5,affected,normal,7292.5,SYNTHETIC_MOCK
15,19281.4,unaffected,normal,8098.0,SYNTHETIC_MOCK
16,20504.5,affected,normal,7085.1,SYNTHETIC_MOCK
17,21678.9,unaffected,normal,5164.0,SYNTHETIC_MOCK
18,22856.9,affected,normal,6195.0,SYNTHETIC_MOCK
19,24134.4,unaffected,hesitation,2543.9,SYNTHETIC_MOCK
20,25347.4,affected,normal,6578.0,SYNTHETIC_MOCK
21,26610.9,unaffected,normal,7896.1,SYNTHETIC_MOCK
22,27879.5,affected,panic_plant,11511.6,SYNTHETIC_MOCK
23,28988.9,unaffected,normal,5392.6,SYNTHETIC_MOCK
24,30200.2,affected,panic_plant,12317.6,SYNTHETIC_MOCK
25,31412.9,unaffected,normal,6461.7,SYNTHETIC_MOCK
26,32649.5,affected,normal,6610.2,SYNTHETIC_MOCK
27,33818.9,unaffected,normal,6542.6,SYNTHETIC_MOCK
28,34981.4,affected,normal,7613.6,SYNTHETIC_MOCK
29,36217.1,unaffected,normal,7605.7,SYNTHETIC_MOCK
30,37383.2,affected,normal,6875.9,SYNTHETIC_MOCK
31,38467.5,unaffected,normal,4874.0,SYNTHETIC_MOCK
32,39699.5,affected,hesitation,2451.9,SYNTHETIC_MOCK
33,41003.4,unaffected,normal,6523.5,SYNTHETIC_MOCK
34,42128.7,affected,normal,7929.3,SYNTHETIC_MOCK
35,43301.6,unaffected,normal,5803.0,SYNTHETIC_MOCK
36,44536.3,affected,normal,4823.6,SYNTHETIC_MOCK
37,45620.6,unaffected,normal,6251.4,SYNTHETIC_MOCK
38,46839.3,affected,normal,6332.8,SYNTHETIC_MOCK
39,48020.1,unaffected,normal,9018.2,SYNTHETIC_MOCK
40,49237.7,affected,hesitation,3275.5,SYNTHETIC_MOCK
41,50466.3,unaffected,normal,8052.2,SYNTHETIC_MOCK
42,51615.1,affected,hesitation,2317.9,SYNTHETIC_MOCK
43,52704.9,unaffected,normal,6508.8,SYNTHETIC_MOCK
44,53787.3,affected,normal,6720.0,SYNTHETIC_MOCK
